Time,Temp,DSC
986.00,299.49,1.15
987.00,299.48,1.15
988.00,299.48,1.15
989.00,299.48,1.16
990.00,299.48,1.16
991.00,299.48,1.16
992.00,299.48,1.16
993.00,299.48,1.16
994.00,299.49,1.16
995.00,299.49,1.16
996.00,299.48,1.16
997.00,299.48,1.16
998.00,299.48,1.16
999.00,299.48,1.16
1000.00,299.48,1.16
1001.00,299.48,1.17
1002.00,299.48,1.17
1003.00,299.48,1.17
1004.00,299.48,1.17
1005.00,299.48,1.17
1006.00,299.49,1.17
1007.00,299.49,1.17
1008.00,299.49,1.17
1009.00,299.49,1.17
1010.00,299.49,1.17
1011.00,299.48,1.18
1012.00,299.48,1.17
1013.00,299.48,1.18
1014.00,299.48,1.18
1015.00,299.48,1.18
1016.00,299.48,1.18
1017.00,299.48,1.18
1018.00,299.48,1.18
1019.00,299.48,1.18
1020.00,299.48,1.19
1021.00,299.48,1.19
1022.00,299.48,1.19
1023.00,299.48,1.19
1024.00,299.48,1.20
1025.00,299.48,1.20
1026.00,299.48,1.20
1027.00,299.48,1.21
1028.00,299.48,1.21
1029.00,299.48,1.21
1030.00,299.48,1.21
1031.00,299.48,1.22
1032.00,299.48,1.22
1033.00,299.48,1.22
1034.00,299.48,1.23
1035.00,299.48,1.23
1036.00,299.48,1.23
1037.00,299.49,1.23
1038.00,299.48,1.23
1039.00,299.48,1.24
1040.00,299.48,1.24
1041.00,299.49,1.24
1042.00,299.49,1.24
1043.00,299.48,1.24
1044.00,299.49,1.24
1045.00,299.49,1.24
1046.00,299.49,1.24
1047.00,299.48,1.24
1048.00,299.48,1.25
1049.00,299.48,1.25
1050.00,299.48,1.25
1051.00,299.48,1.25
1052.00,299.48,1.26
1053.00,299.48,1.26
1054.00,299.48,1.26
1055.00,299.48,1.27
1056.00,299.48,1.27
1057.00,299.48,1.27
1058.00,299.48,1.28
1059.00,299.48,1.28
1060.00,299.48,1.29
1061.00,299.49,1.29
1062.00,299.48,1.30
1063.00,299.48,1.30
1064.00,299.48,1.30
1065.00,299.48,1.30
1066.00,299.48,1.31
1067.00,299.48,1.31
1068.00,299.48,1.31
1069.00,299.48,1.31
1070.00,299.48,1.32
1071.00,299.48,1.32
1072.00,299.48,1.31
1073.00,299.48,1.31
1074.00,299.48,1.31
1075.00,299.48,1.31
1076.00,299.48,1.31
1077.00,299.48,1.31
1078.00,299.48,1.31
1079.00,299.48,1.31
1080.00,299.48,1.31
1081.00,299.48,1.31
1082.00,299.48,1.31
1083.00,299.48,1.32
1084.00,299.48,1.32
1085.00,299.48,1.32
1086.00,299.48,1.33
1087.00,299.48,1.33
1088.00,299.48,1.33
1089.00,299.48,1.33
1090.00,299.48,1.33
